City,State,Population,Literacy
Mumbai,Maharashtra,12442373,89.7
Delhi,Delhi,11034555,87.6
Bangalore,Karnataka,8443675,88.7
Hyderabad,Andhra Pradesh,6731790,83.3
Ahmedabad,Gujarat,5577940,88.3
Chennai,Tamil Nadu,4646732,90.2
Kolkata,West Bengal,4496694,86.3
Surat,Gujarat,4467797,87.9
Pune,Maharashtra,3124458,89.6
Jaipur,Rajasthan,3046163,83.3
Lucknow,Uttar Pradesh,2817105,82.5
Kanpur,Uttar Pradesh,2765348,82.4
Nagpur,Maharashtra,2405665,91.9
Indore,Madhya Pradesh,1964086,85.9
Thane,Maharashtra,1841488,89.4
Bhopal,Madhya Pradesh,1798218,83.5
Visakhapatnam,Andhra Pradesh,1728128,81.8
Pimpri and Chinchwad,Maharashtra,1727692,89.2
Patna,Bihar,1684222,83.4
Vadodara,Gujarat,1670806,90.6
Ghaziabad,Uttar Pradesh,1648643,84.8
Ludhiana,Punjab,1618879,85.8
Agra,Uttar Pradesh,1585704,73.1
Nashik,Maharashtra,1486053,89.9
Faridabad,Haryana,1414050,83.8
Meerut,Uttar Pradesh,1305429,75.7
Rajkot,Gujarat,1286678,87.8
Kalyan and Dombivali,Maharashtra,1247327,91.4
Vasai Virar,Maharashtra,1222390,88.6
Varanasi,Uttar Pradesh,1198491,79.3
Srinagar,Jammu and Kashmir,1180570,69.2
Aurangabad,Maharashtra,1175116,87.5
Dhanbad,Jharkhand,1162472,79.5
Amritsar,Punjab,1132383,84.2
Navi Mumbai,Maharashtra,1120547,89.6
Allahabad,Uttar Pradesh,1112544,84.8
Haora,West Bengal,1077075,88.7
Ranchi,Jharkhand,1073427,87.4
Gwalior,Madhya Pradesh,1069276,84.1
Jabalpur,Madhya Pradesh,1055525,87.4
Coimbatore,Tamil Nadu,1050721,91.3
Vijayawada,Andhra Pradesh,1034358,81.2
Jodhpur,Rajasthan,1033756,80.8
Madurai,Tamil Nadu,1017865,90.9
Raipur,Chhattisgarh,1010433,86
Kota,Rajasthan,1001694,82.8
Chandigarh,Chandigarh,961587,86.4
Guwahati,Assam,957352,91.5
Solapur,Maharashtra,951558,82.8
Hubli and Dharwad,Karnataka,943788,86.8
Bareilly,Uttar Pradesh,903668,68.3
Mysore,Karnataka,893062,87.7
Moradabad,Uttar Pradesh,887871,68.8
Gurgaon,Haryana,876969,87.5
Aligarh,Uttar Pradesh,874408,68.5
Jalandhar,Punjab,862886,86.2
Tiruchirappalli,Tamil Nadu,847387,91.4
Bhubaneswar,Orissa,843402,91.9
Salem,Tamil Nadu,829267,84.4
Mira and Bhayander,Maharashtra,809378,91
Thiruvananthapuram,Kerala,743691,95.1
Bhiwandi,Maharashtra,709665,79.5
Saharanpur,Uttar Pradesh,705478,76.3
Gorakhpur,Uttar Pradesh,673446,83.9
Guntur,Andhra Pradesh,647508,80.4
Amravati,Maharashtra,647057,92.1
Bikaner,Rajasthan,644406,79.3
Noida,Uttar Pradesh,637272,86.5
Jamshedpur,Jharkhand,631364,86.9
Bhilai Nagar,Chhattisgarh,625700,86.6
Warangal,Andhra Pradesh,615998,83.3
Cuttack,Orissa,610189,91
Firozabad,Uttar Pradesh,604214,66.3
Kochi,Kerala,602046,97.4
Bhavnagar,Gujarat,593368,84.7
Dehradun,Uttarakhand,569578,88.4
Durgapur,West Bengal,566517,86
Asansol,West Bengal,563917,83.3
Nanded Waghala,Maharashtra,550439,85.9
Kolapur,Maharashtra,549236,90.6
Ajmer,Rajasthan,542321,86.5
Gulbarga,Karnataka,533587,82.3
Loni,Uttar Pradesh,516082,72.1
Ujjain,Madhya Pradesh,515215,84.4
Siliguri,West Bengal,513264,85.9
Ulhasnagar,Maharashtra,506098,87.5
Jhansi,Uttar Pradesh,505693,83
Sangli Miraj Kupwad,Maharashtra,502793,85.9
Jammu,Jammu and Kashmir,502197,90.1
Nellore,Andhra Pradesh,499575,84.1
Mangalore,Karnataka,488968,93.7
Belgaum,Karnataka,488157,89.8
Jamnagar,Gujarat,479920,82.1
Tirunelveli,Tamil Nadu,473637,90.4
Malegaon,Maharashtra,471312,87.6
Gaya,Bihar,468614,81.6
Ambattur,Tamil Nadu,466205,92.2
Jalgaon,Maharashtra,460228,87.3
Udaipur,Rajasthan,451100,89.7
Maheshtala,West Bengal,448317,82
Tiruppur,Tamil Nadu,444352,87.8
Davanagere,Karnataka,434971,84.9
